Date,Nitrogen_Dioxide,Ozone,PM10_Particulate,PM2-5_Particulate
0101200800,42.3,32.6,23,15.5
0101200801,33.8,35.3,21.2,13.5
0101200802,28.8,43.2,19.6,12.7
0101200803,27.3,42.4,18.3,11.9
0101200804,29.4,40.1,18.1,12
0101200805,38.3,33.8,18.7,12.2
0101200806,53.7,26.7,21.5,14.5
0101200807,66.2,22.4,23.4,15
0101200808,69.5,21.5,25.3,14.9
0101200809,67.1,23.7,26.6,14.8
0101200810,62.3,28,26.7,14.6
0101200811,60.5,29.6,28.1,14.8
0101200812,59.3,30,28,14.6
0101200813,59.7,30.6,27.7,13.8
0101200814,60.8,30.6,26.3,14.2
0101200815,66.1,27.8,27.2,14.3
0101200816,72.6,23.7,28,15.5
0101200817,75,22.1,29.3,16.9
0101200818,74.8,22.2,30.2,17.9
0101200819,69.4,23.6,30,17.2
0101200820,62.3,25.8,28.5,16.7
0101200821,55.9,28.3,26.1,15.5
0101200822,51.4,30.5,24.4,15
0101200823,45.8,33.8,23.1,14.2
0102200800,68.2,20.3,34.6,27.4
0102200801,60.7,21.1,32.2,27.6
0102200802,54,24,30.5,26.1
0102200803,50.9,24.5,29.4,25.1
0102200804,51.9,23.4,28.8,24.2
0102200805,60.7,19.6,29.8,25.2
0102200806,77.4,15,33.6,28.6
0102200807,92.3,12.1,37.8,30.7
0102200808,95.6,12.6,42.2,31.7
0102200809,90.9,15.8,45.7,32
0102200810,84.4,20,49.2,31.4
0102200811,79.1,23.6,49.6,29.9
0102200812,74.8,25.8,47.6,30
0102200813,72.4,27.4,46.3,28.9
0102200814,72.5,26.7,44.6,28.1
0102200815,76.8,24.8,44.7,27.9
0102200816,82.5,21.7,43.1,28.1
0102200817,89.7,17.2,42,29.2
0102200818,90.6,16.8,41,30.3
0102200819,88.3,16.7,41.1,31.3
0102200820,83,18.2,40.6,29.8
0102200821,78.2,19,38.6,29.2
0102200822,75.1,20.3,38,29.8
0102200823,72.2,21,36.7,28.1
0103200800,47.5,37.5,17.5,11
0103200801,39.5,42.9,16.1,10
0103200802,32.9,48.4,14.4,9.2
0103200803,30.2,49.2,13.9,9.2
0103200804,33,46.9,14,9.7
0103200805,42,41,15.5,10.8
0103200806,58.2,33,18.6,12.4
0103200807,67,30.9,22.6,14.1
0103200808,64.6,34.4,24.8,13.7
0103200809,61.6,38.8,26.4,13.4
0103200810,58.9,42.5,26.1,12
0103200811,56.9,44.5,26.3,12.1
0103200812,56.4,45.8,25.6,12
0103200813,56.6,46.8,24.8,12.3
0103200814,58.1,46.9,24.3,12
0103200815,59.4,46.3,24.3,13.5
0103200816,61.8,43.9,23.7,13.8
0103200817,66.9,39.9,24,13.1
0103200818,71.4,34.9,22.7,13.6
0103200819,69.6,33.4,22.9,13.6
0103200820,65.7,33.3,23.2,14.1
0103200821,62.1,33.2,23,13.6
0103200822,60,33.2,22.4,14.1
0103200823,54.1,35.1,20.6,12.1
0104200800,49.7,36.2,24.6,18.7
0104200801,44.4,38.3,23.4,18.9
0104200802,40.8,38.3,23.3,18.5
0104200803,43.6,32.8,24.4,20.5
0104200804,54.1,26,26.1,22
0104200805,72.5,19,31,27
0104200806,81,19.8,35,28.4
0104200807,76.6,26.1,37.3,27.1
0104200808,70.9,31.7,37.8,25.3
0104200809,66.4,37.9,36.1,23.3
0104200810,63.1,43,33.9,21.1
0104200811,62.2,45.7,31.9,20
0104200812,61.7,48,30.5,19.4
0104200813,60.9,48.5,30.4,18.5
0104200814,60.8,49.7,29.8,18.8
0104200815,60.7,50,28.1,17.9
0104200816,63.9,48.6,26.2,17.6
0104200817,66.3,46.3,26.8,18.1
0104200818,67.4,42.4,26.7,18.1
0104200819,67.3,37.8,25.7,18.5
0104200820,66.3,35.7,25.4,18.2
0104200821,64.3,35.2,25.4,18.2
0104200822,61.1,35.5,25.1,18.4
0104200823,56.2,36.6,25.1,18.4
